,ticker,queryCount,resultsCount,adjusted,results,status,request_id,count,error
56,COKE,120.0,1.0,True,"[{'v': 4611313.0, 'vw': 569.5161, 'o': 515.41, 'c': 639.57, 'h': 694.2, 'l': 470, 't': 1672549200000, 'n': 366467}]",OK,1e51cc804aa3e5a8fd04b5846c7198a5,1.0,
57,COKE,120.0,1.0,True,"[{'v': 4601969.0, 'vw': 591.9576, 'o': 507.12, 'c': 638.5, 'h': 694.2, 'l': 492.76, 't': 1675227600000, 'n': 371198}]",OK,014f69eeffc9cc2a32416486c76e6011,1.0,
58,COKE,120.0,1.0,True,"[{'v': 4661869.0, 'vw': 618.9908, 'o': 557.36, 'c': 689.58, 'h': 745.53, 'l': 495.11, 't': 1677646800000, 'n': 379581}]",OK,825105ced5bbde5414e2e45223a35591,1.0,
59,COKE,120.0,1.0,True,"[{'v': 4687709.0, 'vw': 647.4158, 'o': 534.99, 'c': 655.26, 'h': 745.53, 'l': 519.14, 't': 1680321600000, 'n': 387334}]",OK,404c35720f830d090254c39473d19584,1.0,
60,COKE,120.0,1.0,True,"[{'v': 4723555.0, 'vw': 658.0016, 'o': 589.32, 'c': 625.67, 'h': 745.53, 'l': 584.69, 't': 1682913600000, 'n': 395837}]",OK,7e85c9e7ffc54c757928154f0d6e5f71,1.0,
61,COKE,105.0,1.0,True,"[{'v': 4017085.0, 'vw': 660.2054, 'o': 660.41, 'c': 640.89, 'h': 745.53, 'l': 614.22, 't': 1685592000000, 'n': 334979}]",OK,0e0dba74b4b9bd3cd74cd7b6ce006012,1.0,
62,COKE,84.0,1.0,True,"[{'v': 3091737.0, 'vw': 660.3046, 'o': 634.49, 'c': 640.89, 'h': 745.53, 'l': 614.22, 't': 1688184000000, 'n': 257226}]",OK,adceaf41f5984e1bdefa34b522d70dab,1.0,
63,COKE,64.0,1.0,True,"[{'v': 2321240.0, 'vw': 668.3974, 'o': 634.25, 'c': 640.89, 'h': 745.53, 'l': 614.22, 't': 1690862400000, 'n': 197496}]",OK,91d5fcafc70f5fe28abf11a27e2d074b,1.0,
64,COKE,41.0,1.0,True,"[{'v': 1336429.0, 'vw': 648.6104, 'o': 701, 'c': 640.89, 'h': 701, 'l': 614.22, 't': 1693540800000, 'n': 126758}]",OK,9a03323a9e4d896a2afda8f793c79470,1.0,
65,COKE,21.0,1.0,True,"[{'v': 633603, 'vw': 636.7849, 'o': 637.72, 'c': 640.89, 'h': 670, 'l': 614.22, 't': 1696132800000, 'n': 57876}]",OK,3793bece175f203dcc4515db8975fb64,1.0,
66,PEP,120.0,1.0,True,"[{'v': 604042310.0, 'vw': 167.6689, 'o': 161.2, 'c': 172.15, 'h': 177.24, 'l': 153.37, 't': 1635739200000, 'n': 7799720}]",OK,60276f74a39401d0e9771d45282bc93b,1.0,
67,PEP,120.0,1.0,True,"[{'v': 677766860.0, 'vw': 167.9066, 'o': 172.2, 'c': 166.13, 'h': 177.62, 'l': 153.37, 't': 1641013200000, 'n': 8689823}]",OK,5f05920a81eb4d790dc5090223bfcac0,1.0,
68,PEP,120.0,1.0,True,"[{'v': 645532362.0, 'vw': 167.0945, 'o': 173.15, 'c': 169.85, 'h': 177.62, 'l': 153.37, 't': 1643691600000, 'n': 8441179}]",OK,878f569774ae2bbe0da87e9a56e230cc,1.0,
69,PEP,120.0,1.0,True,"[{'v': 598254882.0, 'vw': 167.8107, 'o': 163.07, 'c': 180.17, 'h': 181.07, 'l': 153.37, 't': 1646110800000, 'n': 7970061}]",OK,7e1ce02dd10cebcbd0c1e5bb585418ec,1.0,
70,PEP,120.0,1.0,True,"[{'v': 584754701.0, 'vw': 169.8246, 'o': 167.89, 'c': 168.6, 'h': 181.07, 'l': 154.8576, 't': 1648785600000, 'n': 7781960}]",OK,786ca3046dca1fe68cf560c3fed99813,1.0,
71,PEP,120.0,1.0,True,"[{'v': 600179237.0, 'vw': 169.0204, 'o': 172.995, 'c': 171.46, 'h': 181.07, 'l': 154.8576, 't': 1651377600000, 'n': 7965519}]",OK,419725f01b6b2e5042a62c72c22720d6,1.0,
72,PEP,120.0,1.0,True,"[{'v': 569558724.0, 'vw': 170.8474, 'o': 168.18, 'c': 181.33, 'h': 183.58, 'l': 154.8576, 't': 1654056000000, 'n': 7738471}]",OK,2ffa5645e982731bd1002459434a9763,1.0,
73,PEP,120.0,1.0,True,"[{'v': 566890459.0, 'vw': 174.7018, 'o': 166.74, 'c': 181.23, 'h': 186.84, 'l': 160.98, 't': 1656648000000, 'n': 7574118}]",OK,64bb4171188022812a75f8711c0128a0,1.0,
